id,genero_cliente,alias,tipo_servicio,genero_preferencia,tiempo_minutos,valor_total,medio_pago,Fecha_Ingreso
155,No binario,Sombra,Baile privado,Cualquiera,120,494592,Transferencia,2023-07-30
156,Masculino,Shadow,Acompañamiento,Cualquiera,90,135692,Efectivo,2023-05-02
157,Femenino,Diamante,Baile privado,Masculino,60,423187,Tarjeta,2023-01-30
158,Masculino,El Duende,Masaje,Cualquiera,120,245301,Efectivo,2023-07-04
159,Masculino,El Negro,Acompañamiento,Cualquiera,90,317130,Cripto,2023-05-04
160,Masculino,El Bravo,Masaje,Masculino,45,428299,Cripto,2023-09-23
161,Masculino,El Mister,Servicio premium,Masculino,90,402356,Transferencia,2023-08-28
162,Masculino,El Rulo,Masaje,Cualquiera,120,402929,Efectivo,2023-08-28
163,Femenino,Pecado,Acompañamiento,Cualquiera,60,266062,Tarjeta,2023-01-30
164,Femenino,La Mamba,Servicio premium,Cualquiera,45,212892,Transferencia,2023-09-27
165,Femenino,La Mamba,Servicio premium,Masculino,30,86819,Tarjeta,2023-10-04
166,Femenino,Gata Salvaje,Baile privado,Masculino,90,194006,Efectivo,2023-05-26
167,Masculino,El Veneno,Acompañamiento,Masculino,60,150584,Cripto,2023-03-22
168,Femenino,Rubí,Baile privado,Masculino,45,370654,Efectivo,2023-12-27
169,Masculino,El Bravo,Servicio premium,Femenino,45,216441,Transferencia,2023-10-09
170,Masculino,El Mono,Acompañamiento,Cualquiera,30,308126,Efectivo,2023-02-20
171,No binario,Bombón,Servicio premium,Cualquiera,30,364534,Cripto,2023-04-24
172,Femenino,Sirena,Acompañamiento,Masculino,45,224901,Efectivo,2023-10-02
173,Femenino,Cupcake,Acompañamiento,Cualquiera,120,127520,Cripto,2023-02-10
174,No binario,Sombra,Acompañamiento,Masculino,30,208568,Efectivo,2023-07-24
175,Masculino,El Gallito,Acompañamiento,Femenino,90,352558,Cripto,2023-01-05
176,Masculino,El Rulo,Acompañamiento,Masculino,45,312924,Tarjeta,2023-10-14
177,Masculino,El Mister,Acompañamiento,Masculino,45,460201,Cripto,2023-06-07
178,Masculino,El Papi,Masaje,Masculino,30,183837,Cripto,2023-03-15
179,Femenino,Sirena,Baile privado,Femenino,90,264588,Efectivo,2023-05-21
180,Masculino,Rayo,Baile privado,Femenino,90,252425,Cripto,2023-10-08
181,Masculino,Rayo,Masaje,Masculino,30,386307,Efectivo,2023-04-16
182,Masculino,El Veneno,Servicio premium,Femenino,90,106206,Efectivo,2023-05-06
183,Femenino,La Tremenda,Masaje,Cualquiera,30,426259,Efectivo,2023-06-19
184,Masculino,El Mister,Masaje,Cualquiera,90,157056,Efectivo,2023-05-31
185,No binario,Chocolate,Baile privado,Femenino,120,398086,Transferencia,2023-11-19
186,Masculino,Shadow,Masaje,Femenino,90,378585,Tarjeta,2023-09-14
187,Femenino,La Fiera,Masaje,Femenino,45,473958,Transferencia,2023-07-28
188,No binario,Bombón,Baile privado,Masculino,120,220401,Cripto,2023-06-03
189,Masculino,El Veneno,Baile privado,Masculino,45,255410,Efectivo,2023-10-23
190,Masculino,El Vato,Acompañamiento,Femenino,45,288520,Transferencia,2023-02-12
191,Femenino,Poker,Baile privado,Masculino,45,446624,Cripto,2023-12-16
192,Femenino,La Coneja,Servicio premium,Cualquiera,60,454622,Tarjeta,2023-07-04
193,Femenino,Rubí,Servicio premium,Femenino,120,109039,Efectivo,2023-02-28
194,Femenino,Luz Negra,Masaje,Cualquiera,45,130531,Tarjeta,2023-11-02
195,Masculino,El Mister,Baile privado,Cualquiera,30,126842,Tarjeta,2023-09-18
196,Femenino,Dulce,Baile privado,Masculino,90,470383,Tarjeta,2023-10-30
197,No binario,Chocolate,Acompañamiento,Masculino,90,381849,Transferencia,2023-05-14
198,Femenino,La Tremenda,Acompañamiento,Cualquiera,45,143211,Efectivo,2023-01-28
199,Masculino,Fantasma,Servicio premium,Masculino,45,168515,Tarjeta,2023-02-01
200,Femenino,Gata Salvaje,Acompañamiento,Femenino,120,314509,Tarjeta,2023-07-04
201,No binario,Sombra,Baile privado,Masculino,90,429022,Transferencia,2023-06-21
202,Femenino,Poker,Servicio premium,Cualquiera,60,391557,Efectivo,2023-03-03
203,Masculino,El Flaco,Servicio premium,Masculino,90,81602,Tarjeta,2023-03-27
204,No binario,Chocolate,Masaje,Masculino,90,309175,Tarjeta,2023-08-04
205,Masculino,El Bravo,Masaje,Masculino,45,116219,Efectivo,2023-04-17
206,Masculino,El Tigre,Servicio premium,Masculino,60,361807,Transferencia,2023-05-03
207,Masculino,El Rulo,Acompañamiento,Masculino,30,239963,Tarjeta,2023-09-15
208,Masculino,El Lobo,Masaje,Masculino,45,68249,Transferencia,2023-06-05
209,Masculino,El Vato,Baile privado,Masculino,60,109848,Efectivo,2023-02-18
210,Femenino,La Fiera,Acompañamiento,Femenino,45,402031,Efectivo,2023-06-08
211,Masculino,El Bravo,Acompañamiento,Masculino,120,188547,Tarjeta,2023-08-29
212,Masculino,El Rey,Servicio premium,Cualquiera,45,296330,Cripto,2023-07-11
213,Masculino,El Flaco,Baile privado,Cualquiera,120,320991,Efectivo,2023-09-01
214,Femenino,La Mamba,Servicio premium,Femenino,60,171904,Cripto,2023-04-28
215,Masculino,El Mono,Baile privado,Femenino,30,412213,Cripto,2023-12-18
216,Masculino,El Rey,Servicio premium,Femenino,60,260947,Tarjeta,2023-08-08
217,Masculino,El Mono,Acompañamiento,Cualquiera,120,344041,Efectivo,2023-11-02
218,Femenino,Poker,Masaje,Masculino,30,125899,Cripto,2023-01-05
219,Masculino,El Flaco,Acompañamiento,Cualquiera,30,340624,Tarjeta,2023-04-08
220,Femenino,La Tremenda,Acompañamiento,Cualquiera,90,152000,Tarjeta,2023-06-11
221,Masculino,El Búho,Acompañamiento,Cualquiera,30,480876,Efectivo,2023-07-27
222,Masculino,El Flaco,Baile privado,Cualquiera,60,110484,Efectivo,2023-07-03
223,Masculino,El Duende,Masaje,Masculino,120,409099,Transferencia,2023-03-21
224,Masculino,El Gallito,Servicio premium,Femenino,45,498211,Efectivo,2023-01-17
225,Masculino,El Lobo,Acompañamiento,Cualquiera,90,203421,Transferencia,2023-05-12
226,Masculino,Rayo,Baile privado,Femenino,60,397108,Transferencia,2023-06-08
227,Masculino,El Bravo,Masaje,Masculino,30,237758,Tarjeta,2023-11-15
228,Masculino,El Tigre,Servicio premium,Masculino,30,86973,Cripto,2023-11-21
229,Femenino,Diamante,Servicio premium,Femenino,120,318420,Tarjeta,2023-12-03
230,Femenino,Diamante,Masaje,Cualquiera,120,253845,Tarjeta,2023-03-24
231,Masculino,El Bravo,Acompañamiento,Masculino,120,360338,Tarjeta,2023-08-10
232,Femenino,La Tremenda,Masaje,Cualquiera,45,229017,Tarjeta,2023-08-16
233,Masculino,El Rey,Acompañamiento,Femenino,45,86139,Tarjeta,2023-07-05
234,Masculino,El Búho,Masaje,Femenino,60,220583,Cripto,2023-03-04
235,Masculino,El Bravo,Masaje,Femenino,60,421562,Efectivo,2023-04-12
236,Masculino,El Gallito,Masaje,Femenino,120,366499,Cripto,2023-06-12
237,Femenino,Rubí,Masaje,Masculino,45,66713,Cripto,2023-05-28
238,Femenino,La Fiera,Servicio premium,Masculino,60,282526,Cripto,2023-04-12
239,Femenino,Poker,Baile privado,Masculino,90,105556,Cripto,2023-05-17
240,Femenino,La Diabla,Acompañamiento,Cualquiera,60,134552,Cripto,2023-01-20
241,No binario,Bombón,Acompañamiento,Cualquiera,30,193400,Tarjeta,2023-08-10
242,Masculino,El Mono,Acompañamiento,Femenino,45,455601,Efectivo,2023-02-28
243,Femenino,La Leona,Acompañamiento,Femenino,90,129756,Cripto,2023-09-26
244,Femenino,Sirena,Masaje,Masculino,90,208226,Cripto,2023-01-06
245,Femenino,La Mamba,Servicio premium,Cualquiera,60,319238,Efectivo,2023-08-24
246,Femenino,La Diabla,Baile privado,Masculino,120,135539,Tarjeta,2023-02-09
247,Femenino,La Chispa,Masaje,Femenino,30,197731,Transferencia,2023-02-18
248,Femenino,Rubí,Baile privado,Cualquiera,60,438341,Transferencia,2023-07-24
249,Masculino,El Flaco,Servicio premium,Cualquiera,60,310071,Cripto,2023-09-20
250,No binario,Sombra,Baile privado,Cualquiera,60,225135,Tarjeta,2023-11-09
251,Femenino,La Mamba,Baile privado,Cualquiera,120,121659,Tarjeta,2023-04-01
252,No binario,Sombra,Masaje,Femenino,90,477657,Transferencia,2023-05-12
253,Femenino,La Reina,Servicio premium,Cualquiera,90,177814,Efectivo,2023-03-14
254,Masculino,El Gallito,Masaje,Cualquiera,60,103277,Cripto,2023-10-16
255,Femenino,La Fiera,Servicio premium,Cualquiera,90,364784,Efectivo,2023-12-17
256,Masculino,El Veneno,Acompañamiento,Cualquiera,60,69558,Efectivo,2023-06-25
257,Masculino,Tormenta,Acompañamiento,Masculino,90,352310,Cripto,2023-10-06
258,Masculino,Rayo,Servicio premium,Femenino,45,491429,Cripto,2023-07-16
259,Masculino,El Gallito,Masaje,Femenino,90,262702,Cripto,2023-02-01
260,Masculino,El Rulo,Servicio premium,Cualquiera,120,407078,Efectivo,2023-12-29
261,Femenino,La Reina,Masaje,Cualquiera,90,319140,Efectivo,2023-04-26
262,No binario,Sombra,Acompañamiento,Cualquiera,30,160291,Tarjeta,2023-08-12
263,Masculino,El Búho,Servicio premium,Femenino,45,478683,Tarjeta,2023-06-23
264,Femenino,Poker,Baile privado,Cualquiera,60,460836,Cripto,2023-06-26
265,Masculino,Fantasma,Masaje,Femenino,90,152506,Efectivo,2023-05-17
266,No binario,Sombra,Baile privado,Femenino,45,89136,Transferencia,2023-06-23
267,Masculino,El Rulo,Baile privado,Cualquiera,120,54063,Cripto,2023-04-07
268,Femenino,Dulce,Acompañamiento,Femenino,90,459298,Tarjeta,2023-03-07
269,No binario,Sombra,Masaje,Femenino,60,308813,Cripto,2023-12-10
270,Masculino,Rayo,Acompañamiento,Masculino,60,490732,Efectivo,2023-11-20
271,Masculino,Rayo,Servicio premium,Cualquiera,90,255657,Transferencia,2023-06-02
272,Masculino,Tormenta,Acompañamiento,Masculino,90,412660,Transferencia,2023-09-20
273,Femenino,La Fiera,Baile privado,Masculino,60,56033,Transferencia,2023-06-22
274,Masculino,El Lobo,Baile privado,Cualquiera,60,202927,Efectivo,2023-01-05
275,Femenino,Gata Salvaje,Masaje,Cualquiera,45,236517,Transferencia,2023-09-27
276,Masculino,Shadow,Servicio premium,Masculino,120,136794,Tarjeta,2023-08-28
277,Masculino,El Gallito,Acompañamiento,Femenino,90,289293,Transferencia,2023-11-11
278,Femenino,La Chispa,Acompañamiento,Femenino,90,339063,Cripto,2023-04-13
279,Femenino,Cupcake,Servicio premium,Masculino,90,202822,Tarjeta,2023-11-21
280,Masculino,El Tigre,Servicio premium,Cualquiera,120,105258,Transferencia,2023-06-02
281,Masculino,El Rey,Baile privado,Masculino,45,282804,Transferencia,2023-07-07
282,Femenino,La Reina,Baile privado,Masculino,45,370327,Transferencia,2023-09-22
283,Masculino,El Mister,Servicio premium,Femenino,30,398260,Transferencia,2023-09-03
284,Masculino,El Papi,Baile privado,Cualquiera,60,111395,Transferencia,2023-08-12
285,Masculino,El Rulo,Masaje,Cualquiera,30,293708,Tarjeta,2023-07-27
286,Masculino,Rayo,Acompañamiento,Masculino,90,312267,Efectivo,2023-02-01
287,Masculino,El Mister,Masaje,Femenino,120,59901,Transferencia,2023-08-06
288,Masculino,El Búho,Acompañamiento,Femenino,45,404316,Efectivo,2023-08-21
289,Femenino,La Diabla,Masaje,Masculino,120,88648,Transferencia,2023-02-02
290,Femenino,Luz Negra,Acompañamiento,Masculino,30,212732,Efectivo,2023-04-17
291,Masculino,Tormenta,Baile privado,Femenino,30,211555,Transferencia,2023-11-05
292,Femenino,Cupcake,Baile privado,Femenino,60,126372,Efectivo,2023-05-03
293,Femenino,La Diabla,Baile privado,Masculino,90,302735,Transferencia,2023-03-29
294,Masculino,El Rey,Masaje,Femenino,45,81460,Transferencia,2023-10-05
295,Femenino,Luz Negra,Masaje,Masculino,30,452089,Efectivo,2023-03-13
296,Masculino,El Vato,Masaje,Cualquiera,90,265871,Tarjeta,2023-06-21
297,Femenino,Gata Salvaje,Acompañamiento,Femenino,120,128110,Cripto,2023-05-24
298,Femenino,Dulce,Masaje,Masculino,45,381382,Efectivo,2023-09-02
299,Masculino,El Lobo,Baile privado,Femenino,90,230787,Efectivo,2023-09-15
300,Femenino,La Fiera,Masaje,Femenino,45,292414,Transferencia,2023-06-26
301,Masculino,El Negro,Baile privado,Cualquiera,45,460507,Efectivo,2023-06-21
302,Masculino,Tormenta,Masaje,Cualquiera,60,74117,Efectivo,2023-10-15
303,Femenino,La Fiera,Acompañamiento,Masculino,45,191471,Tarjeta,2023-04-29
304,No binario,Chocolate,Masaje,Cualquiera,45,243482,Cripto,2023-03-23
305,Femenino,Candy,Baile privado,Femenino,45,357291,Tarjeta,2023-11-07
306,Femenino,Gata Salvaje,Acompañamiento,Femenino,30,67092,Transferencia,2023-11-05
307,Masculino,El Mister,Servicio premium,Femenino,30,253658,Cripto,2023-05-24
308,Masculino,Rayo,Baile privado,Cualquiera,60,466404,Tarjeta,2023-02-28
309,Masculino,Tormenta,Baile privado,Cualquiera,45,269875,Cripto,2023-05-07
310,Masculino,El Duende,Acompañamiento,Cualquiera,90,245031,Efectivo,2023-05-21
311,Masculino,Fantasma,Masaje,Cualquiera,90,114328,Efectivo,2023-06-23
312,Masculino,El Lobo,Baile privado,Cualquiera,30,312989,Tarjeta,2023-09-03
313,Femenino,Diamante,Baile privado,Cualquiera,45,308944,Tarjeta,2023-05-25
314,Masculino,Rayo,Servicio premium,Cualquiera,60,98886,Tarjeta,2023-08-22
315,Femenino,Rubí,Servicio premium,Masculino,90,159821,Cripto,2023-09-17
316,Femenino,Dulce,Masaje,Femenino,60,378998,Tarjeta,2023-01-10
317,No binario,Chocolate,Servicio premium,Masculino,45,208296,Transferencia,2023-11-28
318,Femenino,La Tremenda,Acompañamiento,Masculino,45,265677,Tarjeta,2023-07-23
319,No binario,Sombra,Servicio premium,Femenino,45,465919,Tarjeta,2023-02-26
320,Femenino,Candy,Baile privado,Masculino,90,195157,Tarjeta,2023-11-26
321,Masculino,El Veneno,Acompañamiento,Femenino,45,125210,Tarjeta,2023-07-10
322,No binario,Sombra,Servicio premium,Femenino,90,71191,Transferencia,2023-10-16
323,Masculino,El Mono,Acompañamiento,Femenino,30,371650,Tarjeta,2023-12-20
324,Masculino,Shadow,Baile privado,Cualquiera,90,206125,Tarjeta,2023-10-01
325,Masculino,El Mister,Servicio premium,Cualquiera,90,301961,Cripto,2023-04-10
